M,K,N,block_x,block_y,time_taken_ms
1,784,256,14,1,0.03337860107421875
1,784,256,14,2,0.03457069396972656
1,784,256,14,3,0.03361701965332031
1,784,256,14,4,0.033855438232421875
1,784,256,14,5,0.03314018249511719
1,784,256,14,6,0.032901763916015625
1,784,256,14,7,0.03337860107421875
1,784,256,14,8,0.03314018249511719
1,784,256,14,9,0.03361701965332031
1,784,256,14,10,0.03337860107421875
1,784,256,14,11,0.03314018249511719
1,784,256,14,12,0.03314018249511719
1,784,256,14,13,0.03314018249511719
1,784,256,14,14,0.03409385681152344
1,784,256,14,15,0.04315376281738281
1,784,256,14,16,0.03361701965332031
1,784,256,14,17,0.03361701965332031
1,784,256,14,18,0.03361701965332031
1,784,256,14,19,0.03361701965332031
1,784,256,14,20,0.03361701965332031
1,784,256,14,21,0.03314018249511719
1,784,256,14,22,0.03314018249511719
1,784,256,14,23,0.03337860107421875
1,784,256,14,24,0.03337860107421875
1,784,256,14,25,0.03314018249511719
1,784,256,14,26,0.03409385681152344
1,784,256,14,27,0.03337860107421875
1,784,256,14,28,0.03314018249511719
1,784,256,14,29,0.03528594970703125
1,784,256,14,30,0.03361701965332031
1,784,256,14,31,0.03361701965332031
1,784,256,14,32,0.033855438232421875
1,784,256,15,1,0.03361701965332031
1,784,256,15,2,0.03409385681152344
1,784,256,15,3,0.03361701965332031
1,784,256,15,4,0.03314018249511719
1,784,256,15,5,0.03314018249511719
1,784,256,15,6,0.03457069396972656
1,784,256,15,7,0.03361701965332031
1,784,256,15,8,0.03361701965332031
1,784,256,15,9,0.03409385681152344
1,784,256,15,10,0.040531158447265625
1,784,256,15,11,0.03361701965332031
1,784,256,15,12,0.036716461181640625
1,784,256,15,13,0.03337860107421875
1,784,256,15,14,0.03337860107421875
1,784,256,15,15,0.03361701965332031
1,784,256,15,16,0.03361701965332031
1,784,256,15,17,0.03337860107421875
1,784,256,15,18,0.03314018249511719
1,784,256,15,19,0.033855438232421875
1,784,256,15,20,0.033855438232421875
1,784,256,15,21,0.033855438232421875
1,784,256,15,22,0.03337860107421875
1,784,256,15,23,0.03361701965332031
1,784,256,15,24,0.03528594970703125
1,784,256,15,25,0.03361701965332031
1,784,256,15,26,0.03337860107421875
1,784,256,15,27,0.03314018249511719
1,784,256,15,28,0.032901763916015625
1,784,256,15,29,0.032901763916015625
1,784,256,15,30,0.03337860107421875
1,784,256,15,31,0.03314018249511719
1,784,256,15,32,0.03314018249511719
1,784,256,16,1,0.03314018249511719
1,784,256,16,2,0.03314018249511719
1,784,256,16,3,0.03337860107421875
1,784,256,16,4,0.03337860107421875
1,784,256,16,5,0.038623809814453125
1,784,256,16,6,0.033855438232421875
1,784,256,16,7,0.03337860107421875
1,784,256,16,8,0.03361701965332031
1,784,256,16,9,0.038623809814453125
1,784,256,16,10,0.03337860107421875
1,784,256,16,11,0.03337860107421875
1,784,256,16,12,0.03314018249511719
1,784,256,16,13,0.03314018249511719
1,784,256,16,14,0.03337860107421875
1,784,256,16,15,0.03337860107421875
1,784,256,16,16,0.03337860107421875
1,784,256,16,17,0.033855438232421875
1,784,256,16,18,0.03361701965332031
1,784,256,16,19,0.03528594970703125
1,784,256,16,20,0.03361701965332031
1,784,256,16,21,0.03314018249511719
1,784,256,16,22,0.03337860107421875
1,784,256,16,23,0.03361701965332031
1,784,256,16,24,0.03361701965332031
1,784,256,16,25,0.03337860107421875
1,784,256,16,26,0.03361701965332031
1,784,256,16,27,0.03337860107421875
1,784,256,16,28,0.03314018249511719
1,784,256,16,29,0.032901763916015625
1,784,256,16,30,0.032901763916015625
1,784,256,16,31,0.034809112548828125
1,784,256,16,32,0.045299530029296875
1,784,256,17,1,0.03409385681152344
1,784,256,17,2,0.03337860107421875
1,784,256,17,3,0.03337860107421875
1,784,256,17,4,0.03337860107421875
1,784,256,17,5,0.03314018249511719
1,784,256,17,6,0.03361701965332031
1,784,256,17,7,0.03337860107421875
1,784,256,17,8,0.03337860107421875
1,784,256,17,9,0.03314018249511719
1,784,256,17,10,0.03337860107421875
1,784,256,17,11,0.03361701965332031
